exp_name,nimrod_compatible_donor_id
demux_14_02_22_1,N99
demux_14_02_22_1,N91
demux_14_02_22_1,N159
demux_14_02_22_1,N175
demux_01_02_21_2_ultima,N133
demux_01_02_21_2_ultima,N130
demux_01_02_21_2_ultima,N91
demux_01_02_21_2_ultima,N135
demux_22_02_21_2_ultima,N159
demux_22_02_21_2_ultima,N152
demux_22_02_21_2_ultima,N153
demux_22_02_21_2_ultima,N156
demux_22_02_21_2_ultima,N155
demux_07_03_21_1_ultima,N171
demux_07_03_21_1_ultima,N167
demux_07_03_21_1_ultima,N169
demux_07_03_21_1_ultima,N168
demux_07_03_21_1_ultima,N176
demux_07_03_21_1_ultima,N166
demux_11_04_21_2_ultima,N184
demux_11_04_21_2_ultima,N178
demux_11_04_21_2_ultima,N177
demux_11_04_21_2_ultima,N181
demux_11_04_21_2_ultima,N180
demux_02_01_22_1,N201
demux_10_01_22_1,N180
demux_10_01_22_1,N181
demux_16_01_22_1,N88
demux_30_01_22_1,N157
demux_30_01_22_1,N80
demux_07_02_22_1,N165
demux_07_02_22_1,N78
demux_07_02_22_1,N131
demux_07_02_22_1,N164
demux_02_03_22_1,N109
demux_03_03_22_1,N179
demux_03_03_22_2,N179
demux_23_11_20_1_ultima,N75
demux_23_11_20_1_ultima,N77
demux_23_11_20_1_ultima,N74
demux_23_11_20_1_ultima,N76
demux_30_11_20_1_ultima,N81
demux_30_11_20_1_ultima,N80
demux_30_11_20_1_ultima,N78
demux_30_11_20_1_ultima,N82
demux_06_06_22_2,N122
demux_12_06_22_1,N259
demux_12_06_22_1,N260
demux_13_06_22_1,N261
demux_19_06_22_1,N97
demux_19_06_22_1,N266
demux_19_06_22_1,N267
demux_19_06_22_2,N266
demux_19_06_22_2,N267
demux_19_06_22_2,N97
demux_03_07_22_2,N79
demux_03_07_22_2,N272
demux_10_07_22_1,N31
demux_10_07_22_1,N147
demux_10_07_22_2,N31
demux_10_07_22_2,N147
demux_23_11_20_1,N75
demux_23_11_20_1,N77
demux_23_11_20_1,N74
demux_23_11_20_1,N76
demux_30_11_20_1,N81
demux_30_11_20_1,N80
demux_30_11_20_1,N78
demux_30_11_20_1,N82
demux_22_06_23_1,N365
demux_01_01_23_1,N1
demux_01_01_23_1,N196
demux_01_01_23_1,N25
demux_04_12_22_1,N308
demux_04_12_22_1,N307
demux_04_12_22_1,N306
demux_04_12_22_1,N309
demux_06_06_22_2_ultima,N122
demux_08_02_23_1,N352
demux_08_02_23_1,N353
demux_08_02_23_1,N351
demux_08_02_23_1,N350
demux_10_07_22_1_ultima,N31
demux_10_07_22_1_ultima,N147
demux_10_07_22_2_ultima,N31
demux_10_07_22_2_ultima,N147
demux_12_06_22_1_ultima,N259
demux_12_06_22_1_ultima,N260
demux_13_11_22_1,N285
demux_13_12_22_1,N321
demux_13_12_22_1,N319
demux_13_12_22_1,N320
demux_13_12_22_1,N317
demux_13_12_22_1,N322
demux_13_12_22_1,N318
demux_13_12_22_2,N322
demux_13_12_22_2,N320
demux_13_12_22_2,N317
demux_13_12_22_2,N321
demux_13_12_22_2,N319
demux_13_12_22_2,N318
demux_14_11_22_1,N288
demux_14_11_22_1,N290
demux_19_06_22_1_ultima,N97
demux_19_06_22_1_ultima,N266
demux_19_06_22_1_ultima,N267
demux_19_06_22_2_ultima,N266
demux_19_06_22_2_ultima,N267
demux_19_06_22_2_ultima,N97
demux_23_11_22_1,N292
demux_23_11_22_1,N293
demux_23_11_22_1,N291
demux_23_11_22_1,N55
demux_28_02_23_1,N307
demux_28_02_23_1,N362
demux_28_02_23_1,N363
demux_27_02_23_2,N355
demux_27_02_23_2,N357
demux_27_02_23_2,N354
demux_27_02_23_2,N260
demux_27_02_23_2,N356
demux_27_11_22_1,N297
demux_27_11_22_1,N300
demux_27_02_23_1,N354
demux_27_02_23_1,N356
demux_27_02_23_1,N357
demux_27_02_23_1,N355
demux_27_02_23_1,N260
demux_07_12_20_1,N89
demux_07_12_20_1,N79
demux_07_12_20_1,N86
demux_07_12_20_1,N84
demux_07_12_20_2,N85
demux_07_12_20_2,N87
demux_07_12_20_2,N59
demux_07_12_20_2,N88
demux_21_12_20_1,N90
demux_21_12_20_1,N93
demux_21_12_20_1,N94
demux_21_12_20_1,N97
demux_21_12_20_2,N96
demux_21_12_20_2,N98
demux_21_12_20_2,N95
demux_21_12_20_2,N92
demux_28_12_20_1,N99
demux_28_12_20_1,N103
demux_28_12_20_1,N100
demux_28_12_20_1,N102
demux_28_12_20_2,N104
demux_28_12_20_2,N101
demux_28_12_20_2,N106
demux_28_12_20_2,N105
demux_04_01_21_1,N112
demux_04_01_21_1,N115
demux_04_01_21_1,N107
demux_04_01_21_1,N109
demux_04_01_21_1,N114
demux_04_01_21_2,N108
demux_04_01_21_2,N110
demux_04_01_21_2,N116
demux_04_01_21_2,N111
demux_11_01_21_1,N18
demux_11_01_21_1,N119
demux_11_01_21_1,N117
demux_11_01_21_1,N121
demux_11_01_21_2,N122
demux_11_01_21_2,N123
demux_11_01_21_2,N118
demux_11_01_21_2,N120
demux_21_01_21_1,N16
demux_21_01_21_1,N17
demux_21_01_21_1,N127
demux_21_01_21_1,N126
demux_21_01_21_2,N128
demux_21_01_21_2,N124
demux_21_01_21_2,N129
demux_21_01_21_2,N125
demux_01_02_21_1,N134
demux_01_02_21_1,N131
demux_01_02_21_1,N113
demux_01_02_21_1,N132
demux_01_02_21_2,N133
demux_01_02_21_2,N130
demux_01_02_21_2,N91
demux_01_02_21_2,N135
demux_21_02_21_1,N148
demux_21_02_21_1,N144
demux_21_02_21_1,N149
demux_21_02_21_2,N150
demux_21_02_21_2,N147
demux_21_02_21_2,N146
demux_21_02_21_2,N143
demux_21_02_21_2,N145
demux_22_02_21_1,N157
demux_22_02_21_1,N154
demux_22_02_21_1,N160
demux_22_02_21_1,N158
demux_22_02_21_2,N159
demux_22_02_21_2,N152
demux_22_02_21_2,N156
demux_22_02_21_2,N155
demux_22_02_21_2,N153
demux_01_03_21_1,N163
demux_01_03_21_1,N164
demux_01_03_21_1,N161
demux_01_03_21_1,N162
demux_01_03_21_1,N165
demux_07_03_21_1,N167
demux_07_03_21_1,N169
demux_07_03_21_1,N166
demux_07_03_21_1,N168
demux_07_03_21_1,N176
demux_07_03_21_2,N172
demux_07_03_21_2,N174
demux_07_03_21_2,N173
demux_07_03_21_2,N175
demux_07_03_21_2,N170
demux_11_04_21_1,N83
demux_11_04_21_1,N179
demux_11_04_21_1,N182
demux_11_04_21_1,N183
demux_11_04_21_2,N184
demux_11_04_21_2,N178
demux_11_04_21_2,N177
demux_11_04_21_2,N181
