donor_id,num_of_cells_in_metacell_model
N154,9591
N234,8957
N169,8347
N89,7359
N104,7218
N100,6654
N163,6340
N244,6304
N16,6279
N113,6226
N118,5943
N219,5717
N106,5618
N225,5523
N108,5396
N231,5359
N115,5130
N95,5106
N90,5087
N148,4861
N184,4733
N123,4507
N170,4396
N155,4284
N273,4244
N124,4227
N119,4006
N166,3925
N143,3852
N117,3766
N101,3765
N172,3760
N156,3607
N213,3579
N133,3508
N110,3361
N103,3312
N233,3235
N223,3225
N215,3197
N17,3122
N174,3008
N92,2917
N129,2899
N128,2777
N268,2744
N152,2676
N121,2628
N127,2571
N238,2533
N111,2527
N102,2519
N216,2506
N125,2495
N18,2485
N134,2390
N145,2356
N84,2348
N161,2328
N162,2268
N120,2233
N178,2183
N93,2155
N94,2154
N144,2109
N105,2060
N269,1932
N126,1912
N146,1794
N112,1591
N167,1577
N114,1515
N173,1509
N254,1423
N160,1350
N183,1330
N182,1215
N176,1035
N158,411
